date,name,circulation_a,management_circulation,non_circulation_a,total_a,total
2015/9/10,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/11,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/14,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/15,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/16,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/17,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/18,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/21,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/22,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/23,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/24,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/25,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/28,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/29,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/30,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/10/8,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/10/9,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/10/12,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/10/13,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/10/14,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/15,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/16,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/19,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/20,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/21,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/22,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/23,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/26,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/27,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/28,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/29,浦发银行,18653471415,,0,18653471415,18653471415
2015/10/30,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/2,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/3,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/4,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/5,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/6,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/9,浦发银行,18653471415,,0,18653471415,18653471415
